,t,G1_cell_count,G2_cell_count
0,0.0,43,57
1,0.7515891619010091,45,56
2,1.392476271625057,44,57
3,1.9300010971200265,43,58
4,3.9480669377861446,42,59
5,4.715514926480246,41,60
6,5.213481211049185,43,59
7,6.502943612509171,42,60
8,6.529911725765409,44,59
9,6.82056574342586,43,60
10,7.569550477228702,45,59
11,9.600233714323743,47,58
12,10.131924277127439,49,57
13,10.213042029663896,51,56
14,12.002193277189264,53,55
15,12.697626005258599,52,56
16,13.066938844606383,54,55
17,13.441547321168166,53,56
18,13.933594444168456,55,55
19,14.138030449474712,57,54
20,14.54860716334629,56,55
21,16.025317993016365,58,54
22,16.09511258658803,57,55
23,17.141680176180557,56,56
24,17.72725510327973,58,55
25,18.663436797101646,60,54
26,18.969872644216224,62,53
27,19.303385527786475,61,54
28,19.393077459704784,63,53
29,19.45629140451775,65,52
30,19.527630305256793,67,51
31,19.691966408499923,66,52
32,19.935243411440858,65,53
33,21.18289982753315,67,52
34,21.777827104501625,66,53
35,22.058224710206623,65,54
36,22.62534784674788,67,53
37,22.643096463356024,40,53
38,22.902695659253354,42,52
39,22.99850001867469,44,51
40,23.421709056645216,42,51
41,23.724996667594482,44,50
42,24.71751633388166,46,49
43,24.874159559595427,48,48
44,25.57010947283998,50,47
45,26.004285735999865,52,46
46,28.455650360854946,54,45
47,28.623857734440538,52,45
48,29.111852549432385,54,44
49,29.12146690741045,56,43
50,30.24914497578893,58,42
51,30.346647562286925,56,42
52,30.709195997583628,58,41
53,31.582610859938782,60,40
54,31.79623965318832,58,40
55,33.83993805849309,60,39
56,33.90805494099371,62,38
57,34.57397119982922,64,37
58,34.67595150872895,62,37
59,35.4613281092945,60,37
60,35.57558199394816,58,37
61,35.96366443044112,60,36
62,36.53101117537837,62,35
63,37.584980631578006,64,34
64,38.1361742121815,62,34
65,38.672133210157384,64,33
66,39.683405077137714,66,32
67,39.71768559399361,64,32
68,40.82139957583358,66,31
69,41.050966665260596,64,31
70,41.36376161862945,62,31
71,42.121105191924954,64,30
72,43.33569566776806,66,29
73,43.33730906285099,68,28
74,44.059881086729234,70,27
75,44.34236881867045,68,27
76,44.8418498168667,70,26
77,45.472027490795526,72,25
78,46.24411682923032,74,24
79,46.48682993958654,76,23
80,47.48340532385015,78,22
81,47.64992068922731,76,22
82,48.03987936975912,78,21
83,48.39600134920701,80,20
84,48.71587177560602,82,19
85,48.77507380156726,84,18
86,49.0107210126008,83,19
87,49.14555599388161,85,18
88,49.85352445286705,87,17
89,50.01596259976929,86,17
90,50.894592816274816,84,17
91,51.39247627162506,86,16
92,51.93000109712003,88,15
93,52.11868241271014,86,15
94,52.31290496778765,84,15
95,52.52183774834292,82,15
96,53.948066937786145,84,14
97,54.67485558659122,83,15
98,54.715514926480246,85,14
99,54.815768655597424,84,15
100,55.740277771863575,83,16
101,56.50294361250917,85,15
102,56.82056574342586,87,14
103,57.40936164979367,85,14
104,57.46907108628012,84,15
105,61.12388632076309,83,16
106,61.61206812792885,82,16
107,62.56664850311873,80,16
108,62.6976260052586,82,15
109,62.89928143016935,80,15
110,63.235847466305536,79,16
111,63.441547321168166,81,15
112,64.17046832679253,80,16
113,64.54860716334629,82,15
114,65.38214843263731,80,15
115,65.96095216962235,79,16
116,66.09511258658803,81,15
117,66.47071449930004,80,16
118,67.14168017618056,82,15
119,68.71674768950274,80,15
120,69.22844889350104,78,15
121,69.30338552778647,80,14
122,69.32140581975088,79,15
123,69.69196640849992,81,14
124,69.93524341144087,83,13
125,71.14976657749474,82,14
126,71.23377245091078,81,15
127,71.62725540446783,80,15
128,71.77782710450163,82,14
129,72.05822471020662,84,13
130,73.14536054388624,83,13
131,73.76940251325249,82,14
132,73.95090206779798,81,15
133,73.97611982475456,80,16
134,75.75103707656416,79,17
135,76.67115211463104,78,18
136,77.14157308997244,77,19
137,79.1811157324347,76,20
138,80.01068661377508,75,21
139,80.30815869647924,74,22
140,80.97580090873605,73,23
141,80.98027604143057,71,23
142,81.2038148107932,70,24
143,81.54550897865988,69,25
144,82.78595462495699,68,26
145,82.84991525802285,66,26
146,83.54412089790078,65,26
147,84.72280750821491,64,27
148,84.75776752867911,63,28
149,84.77399316878684,62,29
150,85.19757086949765,61,30
151,85.76560917634133,60,31
152,85.87929073285008,59,32
153,87.33448245788259,58,33
154,87.34972313323391,57,34
155,87.55505141403566,56,34
