theta,n0,sim,initial_timestep,final_timestep,initial_cell_count,final_cell_count,last_alive_timestep,num_apoptosis,num_extrusion,JobID,JobName,State,ExitCode,Timelimit,Start,End,Elapsed
0.57,1,0,0,909,1,50,909,75,0,327257_0,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:19:47,00:10:01
0.57,1,1,0,97,1,0,96,2,0,327257_1,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:23,00:01:37
0.57,1,2,0,1074,1,50,1074,143,0,327257_2,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:20:54,00:11:08
0.57,1,3,0,130,1,0,129,1,2,327257_3,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:18,00:01:32
0.57,1,4,0,1785,1,50,1785,160,0,327257_4,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:22:49,00:13:03
0.57,1,5,0,496,1,0,495,16,0,327257_5,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:25,00:01:39
0.57,1,6,0,108,1,0,107,2,0,327257_6,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:18,00:01:32
0.57,1,7,0,198,1,0,197,3,0,327257_7,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:25,00:01:39
0.57,1,8,0,45,1,0,44,1,0,327257_8,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:20,00:01:34
0.57,1,9,0,578,1,0,577,11,3,327257_9,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:20,00:01:34
0.57,1,10,0,345,1,0,344,6,2,327257_10,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:30,00:01:44
0.57,1,11,0,45,1,0,44,1,0,327257_11,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:04,00:01:18
0.57,1,12,0,322,1,0,321,7,0,327257_12,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:23,00:01:37
0.57,1,13,0,209,1,0,208,3,2,327257_13,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:02,00:01:16
0.57,1,14,0,45,1,0,44,1,0,327257_14,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:10:54,00:01:08
0.57,1,15,0,45,1,0,44,1,0,327257_15,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:08,00:01:22
0.57,1,16,0,45,1,0,44,1,0,327257_16,extinctio+,COMPLETED,0:0,12:00:00,2021-09-30T23:09:46,2021-09-30T23:11:02,00:01:16
