,t,cell_count_A,cell_count_B,G1_cell_count_A,G1_cell_count_B,G2_cell_count_A,G2_cell_count_B
0,0.0,50.0,50.0,12,44,38,6
1,1.0308022533069163,51.0,50.0,14,44,37,6
2,1.179290598740618,51.0,51.0,14,46,37,5
3,1.3008757330653928,51.0,51.0,14,45,37,6
4,2.100224297471126,51.0,52.0,14,47,37,5
5,2.585727273534701,52.0,52.0,16,47,36,5
6,3.200386874574704,52.0,52.0,16,46,36,6
7,3.563106250846598,52.0,53.0,16,48,36,5
8,4.074790720598003,53.0,53.0,18,48,35,5
9,5.116343412512535,53.0,53.0,18,47,35,6
10,5.366209808187264,54.0,53.0,20,47,34,6
11,5.930912780397669,54.0,53.0,20,46,34,7
12,5.966853265264053,54.0,53.0,19,46,35,7
13,6.087200914666006,54.0,53.0,19,45,35,8
14,7.255379026697355,54.0,53.0,18,45,36,8
15,8.35472433288674,54.0,53.0,17,45,37,8
16,8.369662930444402,54.0,54.0,17,47,37,7
17,9.320850275822664,55.0,54.0,19,47,36,7
18,9.729362009507163,55.0,54.0,18,47,37,7
19,9.851915904642254,56.0,54.0,20,47,36,7
20,10.495273932012278,56.0,55.0,20,49,36,6
21,12.392411167572845,57.0,55.0,22,49,35,6
22,12.668465785217233,57.0,56.0,22,51,35,5
23,12.943434233174287,58.0,56.0,24,51,34,5
24,13.062425980085763,58.0,56.0,23,51,35,5
25,13.861763606435662,58.0,56.0,22,51,36,5
26,14.096111256907497,58.0,56.0,21,51,37,5
27,14.264491323472232,58.0,56.0,21,50,37,6
28,14.62087046362032,58.0,56.0,21,49,37,7
29,14.781928241258385,58.0,56.0,21,48,37,8
30,15.580958804394442,59.0,56.0,23,48,36,8
31,15.66254525996444,59.0,56.0,23,47,36,9
32,15.680650333393032,60.0,56.0,25,47,35,9
33,16.03802788772719,60.0,56.0,24,47,36,9
34,16.885002730724416,61.0,56.0,26,47,35,9
35,16.948292416569117,61.0,56.0,25,47,36,9
36,18.109842617353003,62.0,56.0,27,47,35,9
