simulation_id,beta_A,tG_A,rho_A,eta_A,coef_A,beta_B,tG_B,rho_B,eta_B,coef_B,n0_A,n0_B,seed,status,status_info,final_timestep,final_cell_count_A,final_cell_count_B,num_divisions_A,num_divisions_B,num_deaths_A,num_deaths_B
23750,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47501,3,,150.70810400620707,0,9,0,109,0,200
23751,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47503,3,,170.15726576192202,0,9,0,118,0,209
23752,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47505,3,,159.10584827820531,0,10,0,105,0,195
23753,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47507,3,,142.18309545014498,0,10,0,102,0,192
23754,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47509,3,,167.34536695952704,0,10,0,109,0,199
23755,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47511,3,,171.32721019420302,0,10,0,110,0,200
23756,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47513,3,,130.2112269642669,0,10,0,98,0,188
23757,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47515,3,,223.2778648022036,0,10,0,127,0,217
23758,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47517,3,,164.86558462588192,0,10,0,98,0,188
23759,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47519,3,,162.11606136918576,0,10,0,113,0,203
23760,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47521,3,,154.0197301468378,0,10,0,104,0,194
23761,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47523,3,,159.24333643026355,0,10,0,117,0,207
23762,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47525,3,,148.94701167468935,0,10,0,108,0,198
23763,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47527,3,,170.9674396835871,0,10,0,118,0,208
23764,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47529,3,,184.81534561514522,0,9,0,124,0,215
23765,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47531,3,,170.04233499440838,0,10,0,103,0,193
23766,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47533,3,,139.2152273049594,0,10,0,101,0,191
23767,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47535,3,,157.1575604777242,0,10,0,106,0,196
23768,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47537,3,,156.62096483687,0,10,0,103,0,193
23769,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47539,3,,176.95634336073596,0,10,0,121,0,211
23770,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47541,3,,157.99140068884506,0,10,0,103,0,193
23771,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47543,3,,161.94732372420356,0,10,0,117,0,207
23772,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47545,3,,114.27591819642217,0,10,0,94,0,184
23773,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47547,3,,143.785662856255,0,9,0,103,0,194
23774,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47549,3,,159.9927961339994,0,9,0,107,0,198
23775,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47551,3,,140.65656496693478,0,10,0,97,0,187
23776,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47553,3,,116.55094408810754,0,9,0,103,0,194
23777,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47555,3,,170.4268251201936,0,9,0,109,0,200
23778,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47557,3,,140.8455702290283,0,10,0,104,0,194
23779,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47559,3,,167.22974113283723,0,9,0,107,0,198
23780,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47561,3,,123.02211071090154,0,10,0,97,0,187
23781,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47563,3,,155.2056143846209,0,10,0,103,0,193
23782,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47565,3,,164.17165156079352,0,10,0,106,0,196
23783,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47567,3,,157.6016994603314,0,10,0,116,0,206
23784,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47569,3,,150.4633095486405,0,10,0,105,0,195
23785,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47571,3,,173.16216382955056,0,10,0,118,0,208
23786,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47573,3,,133.05314614218872,0,10,0,104,0,194
23787,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47575,3,,159.29307304295753,0,9,0,125,0,216
23788,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47577,3,,110.11492521468658,0,10,0,90,0,180
23789,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47579,3,,136.12600099424606,0,10,0,106,0,196
23790,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47581,3,,131.1266708316343,0,9,0,103,0,194
23791,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47583,3,,147.1816894184469,0,10,0,110,0,200
23792,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47585,3,,134.6135732061878,0,10,0,104,0,194
23793,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47587,3,,168.18903925147748,0,10,0,103,0,193
23794,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47589,3,,185.6560225233154,0,10,0,112,0,202
23795,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47591,3,,143.02496762274197,0,9,0,99,0,190
23796,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47593,3,,157.2965754806183,0,10,0,104,0,194
23797,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47595,3,,133.89198180527495,0,10,0,101,0,191
23798,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47597,3,,139.958772690629,0,10,0,99,0,189
23799,0.3,100,0.3,0.1,1,0.1,100,0.1,0.02,1,0,100,47599,3,,136.0988951394751,0,10,0,103,0,193
23800,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47601,3,,85.58525812497649,0,10,0,85,0,175
23801,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47603,3,,94.51878235155537,0,10,0,87,0,177
23802,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47605,3,,97.34694068418153,0,10,0,81,0,171
23803,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47607,3,,81.78059342684301,0,10,0,80,0,170
23804,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47609,3,,84.83280125749393,0,10,0,83,0,173
23805,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47611,3,,81.85187560502185,0,10,0,86,0,176
23806,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47613,3,,75.58066352048583,0,10,0,81,0,171
23807,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47615,3,,95.95621626426265,0,10,0,89,0,179
23808,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47617,3,,94.96367702677948,0,9,0,85,0,176
23809,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47619,3,,77.69760829219992,0,9,0,80,0,171
23810,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47621,3,,93.25755575827125,0,9,0,80,0,171
23811,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47623,3,,79.24729304733077,0,9,0,80,0,171
23812,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47625,3,,92.01630048349932,0,10,0,90,0,180
23813,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47627,3,,77.78366977701326,0,9,0,82,0,173
23814,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47629,3,,80.46013607323542,0,9,0,84,0,175
23815,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47631,3,,80.41972404340119,0,9,0,83,0,174
23816,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47633,3,,76.91386031635396,0,10,0,81,0,171
23817,0.3,100,0.3,0.1,1,0.15000000000000002,100,0.1,0.02,1,0,100,47635,3,,104.03521919971304,0,9,0,85,0,176
