simulation_id,beta_A,tG_A,rho_A,eta_A,coef_A,beta_B,tG_B,rho_B,eta_B,coef_B,n0_A,n0_B,seed,status,status_info,final_timestep,final_cell_count_A,final_cell_count_B,num_divisions_A,num_divisions_B,num_deaths_A,num_deaths_B
46250,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92501,3,,74.53289441592656,0,10,0,79,0,169
46251,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92503,3,,80.01549482656486,0,9,0,73,0,164
46252,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92505,3,,82.58669100335744,0,10,0,77,0,167
46253,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92507,3,,79.70994122146776,0,9,0,80,0,171
46254,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92509,3,,75.6004399967537,0,10,0,72,0,162
46255,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92511,3,,72.47377335965669,0,10,0,70,0,160
46256,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92513,3,,80.65137154328802,0,9,0,70,0,161
46257,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92515,3,,80.20205192649071,0,9,0,78,0,169
46258,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92517,3,,124.61222242372183,0,9,0,92,0,183
46259,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92519,3,,79.88124278186012,0,10,0,72,0,162
46260,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92521,3,,76.81870965046778,0,9,0,77,0,168
46261,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92523,3,,78.55753370375676,0,10,0,76,0,166
46262,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92525,3,,79.79125713755346,0,10,0,78,0,168
46263,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92527,3,,77.94864895046497,0,10,0,72,0,162
46264,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92529,3,,79.6689602313146,0,10,0,82,0,172
46265,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92531,3,,80.04205388681324,0,10,0,72,0,162
46266,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92533,3,,64.60332738634173,0,10,0,67,0,157
46267,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92535,3,,81.49861257536548,0,9,0,82,0,173
46268,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92537,3,,69.4464700896991,0,10,0,65,0,155
46269,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92539,3,,116.97208684514429,0,10,0,86,0,176
46270,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92541,3,,79.61931948363643,0,10,0,82,0,172
46271,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92543,3,,77.05437538770343,0,10,0,82,0,172
46272,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92545,3,,77.08015962165729,0,10,0,70,0,160
46273,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92547,3,,78.1083769053059,0,10,0,76,0,166
46274,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92549,3,,78.06565546816337,0,10,0,81,0,171
46275,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92551,3,,81.58423434831641,0,9,0,79,0,170
46276,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92553,3,,79.89744153574637,0,10,0,73,0,163
46277,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92555,3,,81.30266793589715,0,10,0,75,0,165
46278,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92557,3,,79.62308576145965,0,9,0,79,0,170
46279,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92559,3,,77.51538567634856,0,10,0,73,0,163
46280,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92561,3,,78.71595827866773,0,9,0,80,0,171
46281,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92563,3,,80.50064536997317,0,9,0,76,0,167
46282,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92565,3,,81.317877080588,0,9,0,83,0,174
46283,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92567,3,,79.34235550948286,0,10,0,76,0,166
46284,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92569,3,,79.5347388123208,0,9,0,83,0,174
46285,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92571,3,,79.99588145587278,0,9,0,76,0,167
46286,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92573,3,,78.47012454522239,0,9,0,79,0,170
46287,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92575,3,,93.86080775980436,0,10,0,82,0,172
46288,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92577,3,,81.58261061205344,0,9,0,77,0,168
46289,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92579,3,,78.11365096492433,0,9,0,77,0,168
46290,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92581,3,,70.94914283297774,0,9,0,77,0,168
46291,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92583,3,,77.54046480193507,0,10,0,74,0,164
46292,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92585,3,,81.42051520799316,0,9,0,81,0,172
46293,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92587,3,,80.05117181357168,0,10,0,75,0,165
46294,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92589,3,,75.06134454884742,0,10,0,74,0,164
46295,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92591,3,,81.92794485983067,0,9,0,74,0,165
46296,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92593,3,,79.29064508244012,0,10,0,82,0,172
46297,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92595,3,,78.53641449610949,0,10,0,81,0,171
46298,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92597,3,,81.58206903626879,0,10,0,72,0,162
46299,0.3,100,0.3,0.1,1,0.25,100,0.25,0.02,1,0,100,92599,3,,80.39074085783633,0,10,0,76,0,166
46300,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92601,3,,82.10382347880407,0,9,0,73,0,164
46301,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92603,3,,81.61063668362071,0,9,0,77,0,168
46302,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92605,3,,82.64747475756269,0,10,0,70,0,160
46303,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92607,3,,81.34139809480213,0,10,0,80,0,170
46304,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92609,3,,77.8373426920862,0,9,0,72,0,163
46305,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92611,3,,81.02372818059801,0,10,0,70,0,160
46306,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92613,3,,82.91473072505228,0,10,0,79,0,169
46307,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92615,3,,66.55073295012856,0,9,0,66,0,157
46308,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92617,3,,85.49701686287821,0,10,0,63,0,153
46309,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92619,3,,68.31440359836918,0,9,0,64,0,155
46310,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92621,3,,62.5031300386002,0,9,0,60,0,151
46311,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92623,3,,64.06774738176337,0,10,0,69,0,159
46312,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92625,3,,81.22356878292757,0,10,0,77,0,167
46313,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92627,3,,71.23496750903537,0,10,0,71,0,161
46314,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92629,3,,69.83880823219225,0,10,0,70,0,160
46315,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92631,3,,61.319758543443534,0,10,0,58,0,148
46316,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92633,3,,82.67088381688059,0,10,0,67,0,157
46317,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92635,3,,85.57772838623842,0,10,0,83,0,173
46318,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92637,3,,67.40547388273103,0,10,0,67,0,157
46319,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92639,3,,60.68337882459966,0,10,0,59,0,149
46320,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92641,3,,63.63549653518511,0,10,0,58,0,148
46321,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92643,3,,90.52637856260436,0,9,0,73,0,164
46322,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92645,3,,81.61582410325856,0,10,0,62,0,152
46323,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92647,3,,64.26672654665595,0,9,0,62,0,153
46324,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92649,3,,60.12344612634559,0,9,0,54,0,145
46325,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92651,3,,61.249362392743016,0,10,0,64,0,154
46326,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92653,3,,65.66605491860456,0,10,0,64,0,154
46327,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92655,3,,68.26956822456305,0,10,0,71,0,161
46328,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92657,3,,87.5481992501706,0,10,0,75,0,165
46329,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92659,3,,71.42436272236479,0,10,0,66,0,156
46330,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92661,3,,68.70436120000531,0,9,0,65,0,156
46331,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92663,3,,79.7450604760986,0,10,0,75,0,165
46332,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92665,3,,59.66622022084869,0,9,0,62,0,153
46333,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92667,3,,84.57489483146502,0,10,0,67,0,157
46334,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92669,3,,62.733529504058865,0,10,0,67,0,157
46335,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92671,3,,81.21671028389449,0,9,0,70,0,161
46336,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92673,3,,81.21824510896532,0,9,0,72,0,163
