beta_A,tG_A,eta_A,coef_A,beta_B,tG_B,eta_B,coef_B,Nx,Ny,pattern,sim,initial_timestep,final_timestep,initial_cell_count,final_cell_count,last_alive_timestep,num_apoptosis,num_extrusion,JobID,JobName,State,ExitCode,Timelimit,Start,End,Elapsed
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,0,0,413,100,10,413,286,0,1667671_0,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:03:14,2021-07-27T03:10:51,00:07:37
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,1,0,325,100,9,325,275,0,1667671_1,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:03:14,2021-07-27T03:10:08,00:06:54
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,2,0,383,100,10,383,276,0,1667671_2,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:03:14,2021-07-27T03:10:51,00:07:37
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,3,0,284,100,10,284,249,0,1667671_3,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:03:14,2021-07-27T03:09:23,00:06:09
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,4,0,397,100,10,397,265,0,1667671_4,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:03:14,2021-07-27T03:10:12,00:06:58
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,5,0,428,100,10,428,296,0,1667671_5,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:04:16,2021-07-27T03:12:30,00:08:14
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,6,0,342,100,10,342,259,0,1667671_6,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:04:16,2021-07-27T03:10:45,00:06:29
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,7,0,420,100,10,420,279,0,1667671_7,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:04:16,2021-07-27T03:11:31,00:07:15
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,8,0,505,100,10,505,284,0,1667671_8,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:04:16,2021-07-27T03:12:20,00:08:04
0.50,100.00,0.10,1.00,0.10,100.00,0.02,1.00,10,10,control,9,0,433,100,10,433,301,1,1667671_9,heterotyp+,COMPLETED,0:0,2-00:00:00,2021-07-27T03:04:16,2021-07-27T03:13:17,00:09:01
