simulation_id,beta_A,tG_A,rho_A,eta_A,coef_A,beta_B,tG_B,rho_B,eta_B,coef_B,n0_A,n0_B,seed,status,status_info,final_timestep,final_cell_count_A,final_cell_count_B,num_divisions_A,num_divisions_B,num_deaths_A,num_deaths_B,ergodic_rms_A,ergodic_rms_B
0,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,1,2,,319.0398384682008,0,1000,0,900,0,0,,
1,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,3,2,,326.10089348650877,0,1000,0,900,0,0,,
2,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,5,2,,321.76644637981826,0,1000,0,900,0,0,,
3,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,7,2,,320.3234701626398,0,1000,0,900,0,0,,
4,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,9,2,,318.3166496504616,0,1000,0,900,0,0,,
5,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,11,2,,326.0096993999012,0,1000,0,900,0,0,,
6,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,13,2,,310.19189001896063,0,1000,0,900,0,0,,
7,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,15,2,,318.98051789570013,0,1000,0,900,0,0,,
8,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,17,2,,327.7018928070023,0,1000,0,900,0,0,,
9,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,19,2,,324.49128193860474,0,1000,0,900,0,0,,
10,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,21,2,,321.37957769954966,0,1000,0,900,0,0,,
11,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,23,2,,322.0374389266897,0,1000,0,900,0,0,,
12,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,25,2,,324.87028321893365,0,1000,0,900,0,0,,
13,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,27,2,,323.3575919663782,0,1000,0,900,0,0,,
14,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,29,2,,323.02917185116604,0,1000,0,900,0,0,,
15,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,31,2,,317.8644130629853,0,1000,0,900,0,0,,
16,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,33,2,,326.478242111065,0,1000,0,900,0,0,,
17,0.3,100,0.3,0.1,1,0.4,100,0.4,0.6,1,0,100,35,2,,320.7835678674177,0,1000,0,900,0,0,,
