simulation_id,average_time_in_G1,effective_g1_sample_size,eta,final_cell_count,final_timestep,num_deaths,num_divisions,seed,status
0,16.31130279301982,210,0.4,0,376.5577020752391,137,73,0,1
1,16.813052420524286,174,0.4,0,441.66812871588195,119,55,2,1
2,16.63793965649376,162,0.4,0,361.96192087173495,113,49,4,1
3,17.569853356447023,114,0.4,0,253.7314034273906,89,25,6,1
4,16.7089405233642,152,0.4,0,337.6645722109153,108,44,8,1
5,16.225367670395705,208,0.4,0,544.5747741995968,136,72,10,1
6,16.164601712958657,222,0.4,0,743.6128481237204,143,79,12,1
7,16.181419878510162,238,0.4,0,493.4094122993776,151,87,14,1
8,16.070957501037114,196,0.4,0,460.19119332688473,130,66,16,1
9,16.433492114712173,174,0.4,0,355.27446566848414,119,55,18,1
10,17.29284227981587,168,0.4,0,379.9864740801889,116,52,20,1
11,16.140104713181355,204,0.4,0,514.8254163477038,134,70,22,1
12,17.922012582120722,118,0.4,0,259.2367165999184,91,27,24,1
13,16.901089288745396,184,0.4,0,520.3307098744181,124,60,26,1
14,16.99606989681129,154,0.4,0,399.6990127317776,109,45,28,1
15,16.297566770171453,268,0.4,0,714.1660604373177,166,102,30,1
16,16.499589307628955,192,0.4,0,598.2647612106114,128,64,32,1
17,15.608339983296219,264,0.4,0,1018.785880991835,164,100,34,1
18,16.64963113816983,166,0.4,0,392.15162539518747,115,51,36,1
19,17.329925541346743,142,0.4,0,314.50420822452475,103,39,38,1
20,16.535493144274238,196,0.4,0,609.3101787767989,130,66,40,1
21,16.24929389397706,260,0.4,0,688.203250791767,162,98,42,1
22,16.367507955779104,212,0.4,0,397.02194932114423,138,74,44,1
23,15.577295871110202,302,0.4,0,575.0474707466863,183,119,46,1
24,16.469086991485128,194,0.4,0,520.3116936292042,129,65,48,1
25,16.82933614023027,178,0.4,0,413.7400519811147,121,57,50,1
26,16.93641436561874,146,0.4,0,448.4240099012364,105,41,52,1
27,16.37360746155522,204,0.4,0,588.0505717686333,134,70,54,1
28,16.19039839718736,208,0.4,0,524.6895595269141,136,72,56,1
29,16.39403799879543,212,0.4,0,816.0987337236156,138,74,58,1
30,16.529911116618678,194,0.4,0,487.39833187547333,129,65,60,1
31,16.860145266654698,162,0.4,0,561.5062565534103,113,49,62,1
32,15.770847084917861,270,0.4,0,607.8599896685469,167,103,64,1
33,16.083736203818894,234,0.4,0,575.7516937184339,149,85,66,1
