sim,initial_timestep,final_timestep,initial_cell_count,final_cell_count,last_alive_timestep,num_apoptosis,num_extrusion,JobID,JobName,State,ExitCode,Timelimit,Start,End,Elapsed,initial-b-ratio,random-labelling,cell-b-target-area,cell-b-elasticity-parameter,cell-b-contractility-parameter,cell-b-line-tension-parameter,cell-ab-line-tension-parameter,cell-b-g1-duration,cell-b-g2-duration,cell-b-cell-cycle-duration,seed,simulation-id
000020,0,250,36,19,250,0,137,411560_20,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:48,00:02:10,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000020,000020
000021,0,250,36,58,250,0,102,411560_21,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:39:57,00:01:19,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000021,000021
000022,0,250,36,36,250,0,116,411560_22,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:46,00:02:08,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000022,000022
000023,0,250,36,47,250,0,104,411560_23,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:45,00:02:07,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000023,000023
000024,0,250,36,0,239,0,141,411560_24,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:00,00:01:22,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000024,000024
000025,0,250,36,9,250,0,110,411560_25,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:16,00:01:38,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000025,000025
000026,0,250,36,24,250,0,113,411560_26,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:39:45,00:01:07,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000026,000026
000027,0,250,36,43,250,0,106,411560_27,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:45,00:02:07,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000027,000027
000028,0,250,36,0,249,0,139,411560_28,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:13,00:01:35,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000028,000028
000029,0,250,36,44,250,0,108,411560_29,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:41:14,00:02:36,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000029,000029
000030,0,250,36,43,250,0,94,411560_30,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:22,00:01:44,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000030,000030
000031,0,250,36,0,238,0,138,411560_31,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:22,00:01:44,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000031,000031
000032,0,250,36,20,250,0,131,411560_32,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:41:00,00:02:22,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000032,000032
000033,0,250,36,0,245,0,140,411560_33,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:07,00:01:29,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000033,000033
000034,0,250,36,51,250,0,98,411560_34,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:35,00:01:57,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000034,000034
000035,0,250,36,56,250,0,114,411560_35,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:11,00:01:33,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000035,000035
000036,0,250,36,28,250,0,116,411560_36,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:23,00:01:45,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000036,000036
000037,0,250,36,42,250,0,125,411560_37,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:45,00:02:07,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000037,000037
000038,0,250,36,48,250,0,118,411560_38,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:41:13,00:02:35,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000038,000038
000039,0,250,36,45,250,0,113,411560_39,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:38:38,2021-11-04T02:40:05,00:01:27,1.0,true,0.9,1.0,0.05,0.14,0.14,40.0,60.0,100.0,00000039,000039
000060,0,250,36,74,250,0,124,411560_60,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:47,00:02:05,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000060,000060
000061,0,250,36,108,250,0,126,411560_61,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:12,00:01:30,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000061,000061
000062,0,250,36,99,250,0,127,411560_62,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:27,00:01:45,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000062,000062
000063,0,250,36,122,250,0,115,411560_63,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:43:02,00:02:20,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000063,000063
000064,0,250,36,100,250,0,126,411560_64,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:51,00:02:09,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000064,000064
000065,0,250,36,102,250,0,126,411560_65,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:47,00:02:05,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000065,000065
000066,0,250,36,106,250,0,132,411560_66,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:22,00:01:40,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000066,000066
000067,0,250,36,107,250,0,120,411560_67,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:43:02,00:02:20,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000067,000067
000068,0,250,36,78,250,0,132,411560_68,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:25,00:01:43,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000068,000068
000069,0,250,36,97,250,0,132,411560_69,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:48,00:02:06,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000069,000069
000070,0,250,36,86,250,0,140,411560_70,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:42,00:02:00,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000070,000070
000071,0,250,36,119,250,0,133,411560_71,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:22,00:01:40,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000071,000071
000072,0,250,36,76,250,0,136,411560_72,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:40:42,2021-11-04T02:42:36,00:01:54,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000072,000072
000073,0,250,36,112,250,0,132,411560_73,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:41:44,2021-11-04T02:43:55,00:02:11,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000073,000073
000074,0,250,36,83,250,0,138,411560_74,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:41:44,2021-11-04T02:43:48,00:02:04,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000074,000074
000075,0,250,36,79,250,0,143,411560_75,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:41:44,2021-11-04T02:43:28,00:01:44,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000075,000075
000076,0,250,36,84,250,0,141,411560_76,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:41:44,2021-11-04T02:43:26,00:01:42,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000076,000076
000077,0,250,36,101,250,0,120,411560_77,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:41:44,2021-11-04T02:43:44,00:02:00,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000077,000077
000078,0,250,36,56,250,0,150,411560_78,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:41:44,2021-11-04T02:43:34,00:01:50,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000078,000078
000079,0,250,36,78,250,0,134,411560_79,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:41:44,2021-11-04T02:43:55,00:02:11,1.0,true,0.9,0.9,0.05,0.1,0.14,20.0,60.0,80.0,00000079,000079
000100,0,250,36,0,247,0,139,411560_100,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:07,00:01:22,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000100,000100
000101,0,250,36,23,250,0,141,411560_101,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:15,00:01:30,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000101,000101
000102,0,250,36,34,250,0,125,411560_102,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:15,00:01:30,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000102,000102
000103,0,250,36,0,234,0,140,411560_103,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:09,00:01:24,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000103,000103
000104,0,250,36,0,242,0,146,411560_104,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:10,00:01:25,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000104,000104
000105,0,250,36,39,250,0,130,411560_105,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:19,00:01:34,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000105,000105
000106,0,250,36,55,250,0,126,411560_106,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:23,00:01:38,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000106,000106
000107,0,250,36,50,250,0,133,411560_107,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:22,00:01:37,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000107,000107
000108,0,250,36,28,250,0,131,411560_108,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:14,00:01:29,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000108,000108
000109,0,250,36,41,250,0,128,411560_109,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:12,00:01:27,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000109,000109
000110,0,250,36,21,250,0,139,411560_110,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:42:45,2021-11-04T02:44:03,00:01:18,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000110,000110
000111,0,250,36,0,232,0,155,411560_111,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:44:49,2021-11-04T02:46:02,00:01:13,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000111,000111
000112,0,250,36,9,250,0,148,411560_112,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:44:49,2021-11-04T02:46:56,00:02:07,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000112,000112
000113,0,250,36,37,250,0,130,411560_113,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:44:49,2021-11-04T02:46:30,00:01:41,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000113,000113
000114,0,250,36,16,250,0,136,411560_114,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:44:49,2021-11-04T02:46:14,00:01:25,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000114,000114
000115,0,250,36,29,250,0,131,411560_115,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:44:49,2021-11-04T02:46:13,00:01:24,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000115,000115
000116,0,250,36,28,250,0,136,411560_116,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:44:49,2021-11-04T02:47:34,00:02:45,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000116,000116
000117,0,250,36,0,217,0,131,411560_117,mechanica+,COMPLETED,0:0,01:00:00,2021-11-04T02:44:49,2021-11-04T02:46:34,00:01:45,1.0,false,0.9,1.0,0.05,0.14,0.14,30.0,60.0,90.0,00000117,000117
