sim,initial_timestep,final_timestep,initial_cell_count,final_cell_count,last_alive_timestep,num_apoptosis,num_extrusion,JobID,JobName,State,ExitCode,Timelimit,Start,End,Elapsed,initial-b-ratio,random-labelling,cell-a-target-area,cell-b-target-area,cell-a-elasticity-parameter,cell-b-elasticity-parameter,cell-a-contractility-parameter,cell-b-contractility-parameter,cell-a-line-tension-parameter,cell-b-line-tension-parameter,cell-a-g1-duration,cell-b-g1-duration,cell-a-g2-duration,cell-b-g2-duration,cell-ab-line-tension-parameter,seed,simulation-id
000000,0,250,36,41,250,0,158,3467358_0,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:17,00:01:18,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001200,000000
000001,0,250,36,18,250,0,146,3467358_1,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:07,00:01:08,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001201,000001
000002,0,250,36,46,250,0,170,3467358_2,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:19,00:01:20,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001202,000002
000003,0,250,36,4,250,0,179,3467358_3,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:12,00:01:13,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001203,000003
000004,0,250,36,26,250,0,145,3467358_4,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:09,00:01:10,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001204,000004
000005,0,250,36,24,250,0,167,3467358_5,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:19,00:01:20,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001205,000005
000006,0,250,36,42,250,0,165,3467358_6,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:19,00:01:20,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001206,000006
000007,0,250,36,33,250,0,181,3467358_7,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:19,00:01:20,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001207,000007
000008,0,250,36,50,250,0,167,3467358_8,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:22,00:01:23,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001208,000008
000009,0,250,36,41,250,0,140,3467358_9,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:17,00:01:18,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001209,000009
000010,0,250,36,24,250,0,166,3467358_10,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:14,00:01:15,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001210,000010
000011,0,250,36,43,250,0,159,3467358_11,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:19,00:01:20,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001211,000011
000012,0,250,36,40,250,0,164,3467358_12,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:19,00:01:20,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001212,000012
000013,0,250,36,50,250,0,150,3467358_13,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:19,00:01:20,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001213,000013
000014,0,250,36,49,250,0,154,3467358_14,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T23:06:59,2023-09-12T23:08:19,00:01:20,0.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001214,000014
