sim,initial_timestep,final_timestep,initial_cell_count,final_cell_count,last_alive_timestep,num_apoptosis,num_extrusion,JobID,JobName,State,ExitCode,Timelimit,Start,End,Elapsed,initial-b-ratio,random-labelling,cell-a-target-area,cell-b-target-area,cell-a-elasticity-parameter,cell-b-elasticity-parameter,cell-a-contractility-parameter,cell-b-contractility-parameter,cell-a-line-tension-parameter,cell-b-line-tension-parameter,cell-a-g1-duration,cell-b-g1-duration,cell-a-g2-duration,cell-b-g2-duration,cell-ab-line-tension-parameter,seed,simulation-id
000800,0,250,36,211,250,0,0,3466044_800,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:03:40,00:06:38,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002000,000800
000801,0,250,36,228,250,0,0,3466044_801,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:04:01,00:06:59,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002001,000801
000802,0,250,36,205,250,0,0,3466044_802,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:03:42,00:06:40,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002002,000802
000803,0,250,36,215,250,0,0,3466044_803,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:03:36,00:06:34,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002003,000803
000804,0,250,36,209,250,0,0,3466044_804,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:03:46,00:06:44,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002004,000804
000805,0,250,36,192,250,0,0,3466044_805,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:03:26,00:06:24,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002005,000805
000806,0,250,36,198,250,0,0,3466044_806,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:03:19,00:06:17,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002006,000806
000807,0,250,36,210,250,0,0,3466044_807,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:01:12,00:04:10,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002007,000807
000808,0,250,36,217,250,0,0,3466044_808,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:01:22,00:04:20,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002008,000808
000809,0,250,36,210,250,0,0,3466044_809,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T21:57:02,2023-09-12T22:01:24,00:04:22,1.0,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00002009,000809
